3429,5,255,2,715,593
3471,3,250,2,672,602
3520,2,245,1,629,603
3567,1,231,1,589,611
3610,1,221,0,553,615
3659,0,204,1,517,618
3697,0,195,0,487,621
3732,0,186,0,456,625
3767,0,174,0,426,632
0,4900,0,0,100,0
5,4443,18,457,77,0
5,3847,18,1054,77,0
9,3338,18,1455,180,0
9,2910,18,1246,817,0
9,2498,18,975,1500,0
39,2234,129,798,1794,6
109,1884,284,584,2125,20
210,1492,430,455,2378,35
369,1156,519,325,2580,52
517,921,579,230,2670,80
688,719,596,206,2686,105
849,555,608,166,2684,135
1023,444,619,113,2637,161
1173,375,618,73,2567,194
1335,304,612,74,2454,217
1477,237,598,68,2381,239
1613,171,582,66,2309,259
1755,138,568,34,2215,284
1896,106,550,33,2112,301
2034,80,519,26,2007,329
2151,62,499,19,1921,346
2276,53,470,9,1820,372
2394,40,454,13,1705,392
2486,33,438,8,1623,412
2604,26,416,7,1516,428
2693,18,397,8,1436,448
2784,16,373,2,1363,462
2868,12,354,4,1286,476
2956,8,342,4,1201,487
3029,7,322,1,1140,500
3091,6,314,1,1082,506
3179,4,296,2,1000,519
3253,4,277,0,935,532
3316,3,261,1,881,538
3388,1,246,2,811,551
3427,1,235,0,774,561
3474,1,226,0,733,566
3527,1,213,0,685,574
3570,1,203,0,645,580
3608,1,194,0,605,592
0,4900,0,0,100,0
4,4362,22,538,74,0
4,3824,22,1076,74,0
10,3460,20,1212,298,0
10,3069,20,1036,865,0
21,2711,28,922,1316,2
58,2371,202,771,1594,6
117,2064,335,563,1904,18
211,1732,448,440,2136,33
354,1378,516,389,2311,52
522,1085,584,272,2460,77
743,769,618,201,2553,116
930,603,622,165,2528,151
1073,487,623,136,2500,180
1235,401,611,95,2450,208
1400,331,603,73,2355,238
1554,280,591,56,2260,259
1684,222,565,66,2178,283
1826,184,545,46,2089,307
1971,150,526,38,1987,325
2089,125,515,33,1893,345
2191,104,491,26,1820,369
2313,86,464,19,1730,389
2423,70,445,16,1639,404
2528,61,434,11,1547,419
2620,54,416,7,1470,431
2719,43,398,10,1386,444
2803,36,386,7,1314,453
2901,26,360,12,1237,463
2969,24,346,2,1190,470
3043,22,331,2,1118,482
3108,21,320,2,1051,498
3190,18,304,3,972,512
3261,16,283,2,917,520
3311,11,273,5,872,526
3360,11,267,0,824,537
3412,9,256,2,772,549
3454,5,246,4,734,557
3498,3,234,2,699,563
3542,2,224,1,660,570
3593,2,207,0,617,581
3638,2,195,0,573,591
3673,1,187,1,540,597
3715,1,174,0,507,603
0,2900,0,0,100,0
7,2203,64,702,28,1
12,1781,60,577,569,1
59,1242,564,396,736,4
119,973,868,273,757,11
190,776,1081,204,732,16
286,611,1193,166,718,26
377,493,1272,122,702,34
478,379,1309,115,673,43
595,303,1308,77,668,48
691,239,1325,65,629,51
797,183,1309,57,595,59
883,141,1300,43,563,69
970,113,1281,29,532,75
1063,87,1253,27,490,79
1156,64,1201,23,476,79
1239,51,1156,13,457,84
1334,33,1102,18,426,87
1413,23,1057,10,407,90
1479,15,1021,8,385,92
1553,13,968,2,362,101
1629,8,918,5,337,102
1684,7,883,2,317,107
1760,6,832,1,290,110
1815,6,789,0,277,113
1859,6,758,0,263,114
1907,6,721,0,245,121
1947,5,695,1,231,121
1997,3,652,2,224,122
2047,3,619,0,207,124
2089,3,587,0,194,127
2122,2,566,1,178,131
2156,2,542,0,167,133
2194,2,512,0,155,137
2227,1,485,1,147,139
2262,0,458,1,138,141
2287,0,438,0,133,142
2326,0,408,0,124,142
2347,0,395,0,113,145
2367,0,382,0,104,147
2390,0,366,0,96,148
2407,0,353,0,91,148
2425,0,340,0,85,150
2453,0,318,0,79,150
2472,0,302,0,76,150
2495,0,284,0,70,151
2505,0,276,0,68,151
2521,0,264,0,63,152
0,7900,0,0,100,0
5,7662,19,239,75,1
5,7344,19,556,75,1
5,7035,19,865,75,1
5,6764,19,1137,75,1
5,6454,19,1446,75,1
5,6153,19,1747,75,1
8,5970,19,1740,262,1
8,5732,19,1693,547,1
8,5511,19,1680,781,1
8,5321,19,1641,1011,1
8,5107,19,1628,1237,1
13,4949,35,1598,1404,1
29,4790,75,1536,1568,2
49,4580,137,1479,1749,6
62,4398,185,1417,1928,10
76,4209,247,1367,2088,13
108,4028,300,1304,2243,17
136,3864,337,1246,2394,23
160,3705,376,1154,2574,31
192,3529,430,1120,2692,37
230,3370,465,1055,2837,43
283,3195,513,992,2963,54
335,3052,556,926,3072,59
370,2929,590,837,3202,71
428,2789,636,763,3299,85
484,2647,673,722,3381,93
522,2527,698,687,3461,105
592,2406,728,646,3509,119
680,2257,758,623,3552,130
745,2144,774,579,3613,145
860,2015,790,510,3668,157
964,1861,826,472,3688,184
1104,1712,842,442,3688,212
1236,1589,856,373,3720,226
1375,1455,879,347,3690,254
